God of War III,15,PlayStation 3,Sony,B,Hack and slash,,,NULL,2019,2010,8,,Não,Sim,96
God of War: Chains of Olympus,6,PlayStation Portable,Sony,B,Hack and slash,Matar o Ultimo Boss,Primeiro jogo zerado do Psp,NULL,2023,2008,8,,Sim,Não,97
God of War: Ghost of Sparta,7,PlayStation Portable,Sony,B,Hack and slash,Matar o Ultimo Boss,,NULL,2023,2010,9,,Sim,Não,98
Gone Home,1,PC | Epic,Epic,C,Walking Simulator,,,NULL,2020,2013,7,,Não,Sim,99
Gorogoa,2,PC | Steam,VALVE,C,Puzzle,,,NULL,2021,2017,8,,Não,Sim,100
Grand Theft Auto V,58,PC | Steam,VALVE,B,Action-adventure,,,NULL,2023,2014,10,,Não,Sim,101
Grid 2,17,PC | Steam,VALVE,C,Racing,,,NULL,2019,2013,7,,Não,Sim,102
GRIS,2,Windows 10,Microsoft,C,Platform,,,NULL,2020,2018,8,,Não,Não,103
Guacamelee! Super Turbo Championship Edition,10,PC | Steam,VALVE,B,Metroidvania,,,NULL,2021,2014,7,,Não,Sim,104
Guitar Hero,3,PlayStation 2,Sony,C,Rhythm,,,NULL,2023,2005,9,,Sim,Não,105
Guitar Hero II,4,PlayStation 2,Sony,C,Rhythm,,,NULL,2023,2005,9,,Sim,Não,106
Guitar Hero III: Legends of Rock,4,PlayStation 2,Sony,B,Rhythm,,,NULL,2023,2007,8,,Sim,Não,107
Gunbird,2,Sega Saturn,Sega,S,Shoot 'em up,,,NULL,2023,1995,9,,Sim,Não,108
Gunbird 2,2,Dreamcast,Sega,S,Shoot 'em up,,,NULL,2023,2000,10,,Sim,Não,109
GunForce 2,1,Arcade,MAME,C,Run and gun,,,NULL,2023,1994,7,,Sim,Não,110
GunForce: Battle Fire Engulfed Terror Island,1,Arcade,MAME,C,Run and gun,,,NULL,2023,1991,6,,Sim,Não,111
Gungrave,5,PlayStation 2,Sony,B,TPS,,,NULL,2014,2002,8,,Sim,Não,112
Hades,20,PC | Steam,VALVE,A,Roguelike,,,NULL,2021,2020,11,100%,Não,Sim,113
Half-Life,19,PC | Steam,VALVE,B,FPS,,,NULL,2019,1998,11,,Não,Sim,114
Half-Life 2,21,PC | Steam,VALVE,B,FPS,,,NULL,2019,2004,11,,Não,Sim,115
Half-Life 2: Episode One,5,PC | Steam,VALVE,A,FPS,,,NULL,2019,2006,8,,Não,Sim,116
Half-Life 2: Episode Two,6,PC | Steam,VALVE,A,FPS,,,NULL,2019,2007,8,,Não,Sim,117
Half-Life: Blue Shift,4,PC | Steam,VALVE,A,FPS,,,NULL,2021,2001,5,,Não,Sim,118
Half-Life: Opposing Force,7,PC | Steam,VALVE,A,FPS,,,NULL,2021,1999,6,,Não,Sim,119
Halo: Spartan Assault,9,PC | Steam,VALVE,C,Twin-stick shooter,,,NULL,2020,2014,4,,Não,Sim,120
